"","date","Open","High","Low","Close","Adj_Close"
"4010",2004-07-29,16450,16450,15900,15950,15950
"4011",2004-07-30,15950,16250,15850,15850,15850
"4012",2004-08-02,15800,15850,15350,15600,15600
"4013",2004-08-03,15950,15950,15300,15500,15500
"4014",2004-08-04,15500,15500,15200,15500,15500
"4015",2004-08-05,15600,15900,15400,15700,15700
"4016",2004-08-06,15650,15650,15300,15600,15600
"4017",2004-08-09,15800,15800,15200,15800,15800
"4018",2004-08-10,15800,15800,15450,15500,15500
"4019",2004-08-11,15500,15650,15400,15400,15400
"4020",2004-08-12,15500,16000,15500,15900,15900
"4021",2004-08-13,16150,16150,15600,16000,16000
"4022",2004-08-16,15700,16000,15700,15900,15900
"4023",2004-08-17,16100,16100,15750,16000,16000
"4024",2004-08-18,16100,16100,15650,15700,15700
"4025",2004-08-19,15950,16150,15900,15900,15900
"4026",2004-08-20,16100,16250,16000,16000,16000
"4027",2004-08-23,15900,16300,15850,15900,15900
"4028",2004-08-24,16100,16100,15900,16050,16050
"4029",2004-08-25,16100,16100,15700,15700,15700
"4030",2004-08-26,15700,15750,15500,15500,15500
"4031",2004-08-27,15650,15650,15450,15500,15500
"4032",2004-08-30,15450,15650,15350,15350,15350
"4033",2004-08-31,15200,15700,15200,15700,15700
"4034",2004-09-01,15700,15850,15600,15850,15850
"4035",2004-09-02,15650,16000,15600,15950,15950
"4036",2004-09-03,15800,16050,15800,16000,16000
"4037",2004-09-06,16100,16100,15900,16050,16050
"4038",2004-09-07,15950,16050,15900,16050,16050
"4039",2004-09-08,16100,16100,15900,16050,16050
"4040",2004-09-09,15900,16100,15750,16100,16100
"4041",2004-09-10,16050,16050,15850,16000,16000
"4042",2004-09-13,16050,16100,15850,15850,15850
"4043",2004-09-14,15850,16000,15700,15800,15800
"4044",2004-09-15,15850,15850,15550,15600,15600
"4045",2004-09-16,15750,16100,15650,16000,16000
"4046",2004-09-17,16050,16100,15800,15950,15950
"4047",2004-09-20,15900,16350,15850,16100,16100
"4048",2004-09-21,16050,16900,16050,16500,16500
"4049",2004-09-22,16500,16600,16050,16050,16050
"4050",2004-09-23,15850,16100,15650,15700,15700
"4051",2004-09-24,15650,15900,15600,15800,15800
"4052",2004-09-30,15650,16100,15650,16100,16100
"4053",2004-10-01,16100,16150,15900,16000,16000
"4054",2004-10-04,16150,16400,16000,16350,16350
"4055",2004-10-05,16350,16450,16100,16400,16400
