"","date","Open","High","Low","Close","Adj_Close"
"6860",2016-01-20,73800,76700,73400,74100,74100
"6861",2016-01-21,74600,77400,73100,76200,76200
"6862",2016-01-22,76900,77000,73200,74800,74800
"6863",2016-01-25,75000,76500,74900,76200,76200
"6864",2016-01-26,76100,76100,74200,74400,74400
"6865",2016-01-27,75000,75300,71600,72400,72400
"6866",2016-01-28,72100,73000,71500,72000,72000
"6867",2016-01-29,71800,74100,70100,73800,73800
"6868",2016-02-01,73500,73900,72400,73100,73100
"6869",2016-02-02,73000,74500,71500,71500,71500
"6870",2016-02-03,71800,71900,70500,70600,70600
"6871",2016-02-04,71000,71400,68600,68600,68600
"6872",2016-02-05,68600,69600,67000,68600,68600
"6873",2016-02-11,65800,67700,62500,62800,62800
"6874",2016-02-12,61800,62500,55700,57400,57400
"6875",2016-02-15,58300,60700,57900,59100,59100
"6876",2016-02-16,60300,63400,60100,62300,62300
"6877",2016-02-17,62600,62600,58100,58200,58200
"6878",2016-02-18,60800,60800,57900,58700,58700
"6879",2016-02-19,58900,61900,58300,61000,61000
"6880",2016-02-22,61100,63100,60800,62200,62200
"6881",2016-02-23,62700,63800,60100,60300,60300
"6882",2016-02-24,60800,61900,59900,60700,60700
"6883",2016-02-25,60000,61200,59900,60300,60300
"6884",2016-02-26,60500,61500,60100,60400,60400
"6885",2016-02-29,63800,63800,61600,62600,62600
"6886",2016-03-02,63900,65400,63300,64500,64500
"6887",2016-03-03,64900,65500,63800,65200,65200
"6888",2016-03-04,65200,65300,64200,64600,64600
"6889",2016-03-07,64500,65100,63700,64200,64200
"6890",2016-03-08,63900,64600,61000,62700,62700
"6891",2016-03-09,62700,65500,62100,65100,65100
"6892",2016-03-10,65100,66200,64800,65400,65400
"6893",2016-03-11,65500,67100,64200,66300,66300
"6894",2016-03-14,66100,67900,66100,67200,67200
"6895",2016-03-15,67300,67800,65800,66300,66300
"6896",2016-03-16,67000,67000,65700,66800,66800
"6897",2016-03-17,66500,67000,65600,66200,66200
"6898",2016-03-18,66800,66800,64000,64000,64000
"6899",2016-03-21,64200,65200,63800,64300,64300
"6900",2016-03-22,64100,66100,64100,65000,65000
"6901",2016-03-23,64600,66000,64400,65700,65700
"6902",2016-03-24,65700,65800,64400,64700,64700
"6903",2016-03-25,64800,65800,63700,64400,64400
"6904",2016-03-28,64100,64400,63000,63200,63200
"6905",2016-03-29,63600,64300,63400,63800,63800
"6906",2016-03-30,63000,64000,62800,63600,63600
"6907",2016-03-31,63900,64200,61100,61600,61600
"6908",2016-04-01,61000,63100,60500,62900,62900
"6909",2016-04-04,62900,65300,62100,64700,64700
"6910",2016-04-05,64800,66100,63500,65000,65000
"6911",2016-04-06,65000,65300,63300,65000,65000
"6912",2016-04-07,65000,66100,63600,64800,64800
"6913",2016-04-08,64500,64500,62500,63300,63300
"6914",2016-04-11,63300,63900,62800,63000,63000
