"","date","Open","High","Low","Close","Adj_Close"
"2701",1999-04-01,NA,NA,NA,NA,NA
"2702",1999-04-02,NA,NA,NA,NA,NA
"2703",1999-04-06,NA,NA,NA,NA,NA
"2704",1999-04-07,NA,NA,NA,NA,NA
"2705",1999-04-08,NA,NA,NA,NA,NA
"2706",1999-04-09,NA,NA,NA,NA,NA
"2707",1999-04-12,NA,NA,NA,NA,NA
"2708",1999-04-13,NA,NA,NA,NA,NA
"2709",1999-04-14,NA,NA,NA,NA,NA
"2710",1999-04-15,NA,NA,NA,NA,NA
"2711",1999-04-16,NA,NA,NA,NA,NA
"2712",1999-04-19,NA,NA,NA,NA,NA
"2713",1999-04-20,NA,NA,NA,NA,NA
"2714",1999-04-21,NA,NA,NA,NA,NA
"2715",1999-04-22,NA,NA,NA,NA,NA
"2716",1999-04-23,NA,NA,NA,NA,NA
"2717",1999-04-26,NA,NA,NA,NA,NA
"2718",1999-04-27,NA,NA,NA,NA,NA
"2719",1999-04-28,NA,NA,NA,NA,NA
"2720",1999-04-29,NA,NA,NA,NA,NA
"2721",1999-04-30,NA,NA,NA,NA,NA
"2722",1999-05-03,NA,NA,NA,NA,NA
"2723",1999-05-04,NA,NA,NA,NA,NA
"2724",1999-05-06,NA,NA,NA,NA,NA
"2725",1999-05-07,NA,NA,NA,NA,NA
"2726",1999-05-10,NA,NA,NA,NA,NA
"2727",1999-05-11,NA,NA,NA,NA,NA
"2728",1999-05-12,NA,NA,NA,NA,NA
"2729",1999-05-13,NA,NA,NA,NA,NA
"2730",1999-05-14,21250,21250,21250,21250,20578
"2731",1999-05-17,23800,23800,23800,23800,23047
"2732",1999-05-18,26650,26650,26650,26650,25807
"2733",1999-05-19,29800,29800,29800,29800,28857
"2734",1999-05-20,33350,33350,33350,33350,32295
"2735",1999-05-21,37350,37350,37350,37350,36168
"2736",1999-05-24,41800,41800,41800,41800,40477
"2737",1999-05-25,46800,46800,44900,46800,45319
"2738",1999-05-26,52400,52400,52400,52400,50742
"2739",1999-05-27,58600,58600,58600,58600,56746
"2740",1999-05-28,64900,65600,59100,64900,62846
"2741",1999-05-31,63000,63000,59000,61600,59651
"2742",1999-06-01,55000,56000,54300,54300,52582
"2743",1999-06-02,50200,55000,50200,52700,51032
"2744",1999-06-03,58000,58000,54100,56000,54228
"2745",1999-06-04,56000,57000,54500,55500,53744
"2746",1999-06-07,55000,62100,55000,62100,60135
"2747",1999-06-08,65000,66800,61000,63000,61006
